station_id,station_name,station_pinyin_headchar,station_pinyin
253,大方南,dfn,dafangnan
254,二井,ej,erjing
255,成都南,cdn,chengdounan
256,东莞西,dgx,dongguanxi
257,广通北,gtb,guangtongbei
258,霍州东,hzd,huozhoudong
259,青溪,qx,qingxi
260,宁波,nb,ningbo
261,阿房宫,afg,afanggong
262,舒兰,sl,shulan
263,潍坊,wf,weifang
264,温泉寺,wqs,wenquansi
265,滦县,lx,luanxian
266,牙克石,yks,yakeshi
267,商丘,sq,shangqiu
268,黄柏,hb,huangbo
269,龙市,ls,longshi
270,漠河,mh,mohe
271,珠海北,zhb,zhuhaibei
272,娄山关南,lsgn,loushanguannan
273,八方,bf,bafang
274,蛟河,jh,jiaohe
275,威箐,wq,weiqing
276,龙丰,lf,longfeng
277,八苏木,bsm,basumu
278,连山关,lsg,lianshanguan
279,民权北,mqb,minquanbei
280,羊者窝,yzw,yangzhewo
281,衢州,qz,quzhou
282,龙游,ly,longyou
283,三源浦,syp,sanyuanpu
284,哈达阳,hdy,hadayang
285,建宁县北,jnxb,jianningxianbei
286,都匀,dy,douyun
287,崇左,cz,chongzuo
288,淮南东,hnd,huainandong
289,乐昌,lc,lechang
290,三关口,sgk,sanguankou
291,民福寺,mfs,minfusi
292,大旺,dw,dawang
293,三亚,sy,sanya
294,九郎山,jls,jiulangshan
295,揭阳南,jyn,jieyangnan
296,龙口市,lks,longkoushi
297,乌奴耳,wne,wunuer
298,崇州,cz,chongzhou
299,黄石,hs,huangshi
300,乃林,nl,nailin
301,平凉,pl,pingliang
302,八方山,bfs,bafangshan
303,蒲城东,pcd,puchengdong
304,敖汉,ah,aohan
305,雁栖湖,yqh,yanqihu
306,祥云,xy,xiangyun
307,泗县,sx,sixian
308,盖州,gz,gaizhou
309,烟筒山,yts,yantongshan
310,风陵渡,fld,fenglingdu
311,长寿湖,zsh,zhangshouhu
312,元宝山,ybs,yuanbaoshan
313,苇河西,whx,weihexi
314,廊坊,lf,langfang
315,烟筒屯,ytt,yantongtun
316,歙县北,sxb,shexianbei
317,确山,qs,queshan
318,天水南,tsn,tianshuinan
319,天门,tm,tianmen
320,花湖,hh,huahu
321,古田会址,gthz,gutianhuizhi
322,明港东,mgd,minggangdong
323,文登,wd,wendeng
324,千河,qh,qianhe
325,鹰潭北,ytb,yingtanbei
326,北舍,bs,beishe
327,当雄,dx,dangxiong
328,樟树,zs,zhangshu
329,瓦窑田,wyt,wayaotian
330,大阳,dy,dayang
331,小金口,xjk,xiaojinkou
332,岐山,qs,qishan
333,前窑,qy,qianyao
334,革居,gj,geju
335,运城,yc,yuncheng
336,东岔,dc,dongcha
337,西宁,xn,xining
338,兰陵北,llb,lanlingbei
339,大武口,dwk,dawukou
340,西安,xa,xian
341,库都尔,kde,kudouer
342,祁家堡,qjb,qijiabao
343,红山,hs,hongshan
344,无锡新区,wxxq,wuxixinqu
345,上仓,sc,shangcang
346,托克托东,tktd,tuoketuodong
347,丰乐镇,flz,fenglezhen
348,盘州,pz,panzhou
349,花家庄,hjz,huajiazhuang
350,龙井,lj,longjing
351,常平南,cpn,changpingnan
352,莒南,jn,junan
353,新凉,xl,xinliang
354,渭南镇,wnz,weinanzhen
355,长垣,zy,zhangyuan
356,白奎堡,bkb,baikuibao
357,太阳沟,tyg,taiyanggou
358,峻德,jd,junde
359,旗下营,qxy,qixiaying
360,固始,gs,gushi
361,两家,lj,liangjia
362,宁海,nh,ninghai
363,西大庙,xdm,xidamiao
364,镇平,zp,zhenping
365,三江口,sjk,sanjiangkou
366,午汲,wj,wuji
367,下仓,xc,xiacang
368,华家,hj,huajia
369,杨岗,yg,yanggang
370,小河镇,xhz,xiaohezhen
371,清徐,qx,qingxu
372,平房,pf,pingfang
373,太阳山,tys,taiyangshan
374,塔崖驿,tyy,tayayi
375,五常,wc,wuchang
376,和田,ht,hetian
377,闽清北,mqb,minqingbei
378,纪家沟,jjg,jijiagou
379,镇城底,zcd,zhenchengdi
380,虎尔虎拉,hehl,huerhula
381,开福寺,kfs,kaifusi
382,武胜,ws,wusheng
383,三江县,sjx,sanjiangxian
384,攀枝花,pzh,panzhihua
385,石嘴山,szs,shizuishan
386,临沂东,lyd,linyidong
387,长城,zc,zhangcheng
388,宾阳,by,binyang
389,岔江,cj,chajiang
390,甘草店,gcd,gancaodian
391,巴彦高勒,bygl,bayangaole
392,柳毛,lm,liumao
393,贺家店,hjd,hejiadian
394,夏拉哈马,xlhm,xialahama
395,张家口南,zjkn,zhangjiakounan
396,官高,gg,guangao
397,宜良北,ylb,yiliangbei
398,鸟岛,nd,niaodao
399,洋县西,yxx,yangxianxi
400,黄梅,hm,huangmei
401,镇紫街,zzj,zhenzijie
402,轮台,lt,luntai
403,西湖东,xhd,xihudong
404,乌尔旗汗,weqh,wuerqihan
405,榆次,yc,yuci
406,盘锦北,pjb,panjinbei
407,伊通,yt,yitong
408,百里峡,blx,bailixia
409,溧水,ls,lishui
410,沟帮子,gbz,goubangzi
411,三门峡南,smxn,sanmenxianan
412,赵光,zg,zhaoguang
413,谷城,gc,gucheng
414,张维屯,zwt,zhangweitun
415,大雁,dy,dayan
416,霍城,hc,huocheng
417,怀化南,hhn,huaihuanan
418,芦家村,ljc,lujiacun
419,小岭,xl,xiaoling
420,信阳,xy,xinyang
421,恩施,es,enshi
422,涟水,ls,lianshui
423,忠工屯,zgt,zhonggongtun
424,莆田,pt,putian
425,清远,qy,qingyuan
426,禄丰南,lfn,lufengnan
427,金杖子,jzz,jinzhangzi
428,莒县,jx,juxian
429,昌图,ct,changtu
430,赶水东,gsd,ganshuidong
431,滦河沿,lhy,luanheyan
432,南京南,njn,nanjingnan
433,红峰,hf,hongfeng
434,赛乌苏,sws,saiwusu
435,文地,wd,wendi
436,泉阳,qy,quanyang
437,二龙,el,erlong
438,上板城,sbc,shangbancheng
439,吴官田,wgt,wuguantian
440,统军庄,tjz,tongjunzhuang
441,新安县,xax,xinanxian
442,祁县,qx,qixian
443,蕉溪,jx,jiaoxi
444,石家庄东,sjzd,shijiazhuangdong
445,叶城,yc,yecheng
446,小得江,xdj,xiaodejiang
447,景德镇,jdz,jingdezhen
448,岔河,ch,chahe
449,吉文,jw,jiwen
450,青龙,ql,qinglong
451,宜宾南,ybn,yibinnan
452,茂舍祖,msz,maoshezu
453,缙云,jy,jinyun
454,黄磏,hl,huanglian
455,太白,tb,taibai
456,兴文,xw,xingwen
457,宿州东,szd,suzhoudong
458,沈丘,sq,shenqiu
459,戚墅堰,qsy,qishuyan
460,前进镇,qjz,qianjinzhen
461,卓资东,zzd,zhuozidong
462,准格尔,zge,zhungeer
463,哈业胡同,hyht,hayehutong
464,朱杨溪,zyx,zhuyangxi
465,朝天南,ctn,chaotiannan
466,共青城,gqc,gongqingcheng
467,井店,jd,jingdian
468,南大庙,ndm,nandamiao
469,博克图,bkt,boketu
470,康金井,kjj,kangjinjing
471,广元,gy,guangyuan
472,宁东,nd,ningdong
473,兴隆镇,xlz,xinglongzhen
474,吐哈,th,tuha
475,蔡家坡,cjp,caijiapo
476,范镇,fz,fanzhen
477,桥湾,qw,qiaowan
478,双洋,sy,shuangyang
479,宣威,xw,xuanwei
480,阿拉山口,alsk,alashankou
481,德安,da,dean
482,朝阳,cy,chaoyang
483,图里河,tlh,tulihe
484,马龙,ml,malong
485,天津西,tjx,tianjinxi
486,蔺家楼,ljl,linjialou
487,武威南,wwn,wuweinan
488,江华,jh,jianghua
489,北京南,bjn,beijingnan
490,广安南,gan,guangannan
491,蚌埠,bb,bangbu
492,白银市,bys,baiyinshi
493,威岭,wl,weiling
494,蒙自北,mzb,mengzibei
495,额济纳,ejn,ejina
496,白河东,bhd,baihedong
497,句容西,jrx,jurongxi
498,牡丹江,mdj,mudanjiang
499,大冶北,dyb,dayebei
500,源潭,yt,yuantan
501,滁州北,czb,chuzhoubei
502,富锦,fj,fujin
503,东海,dh,donghai
504,乐昌东,lcd,lechangdong
505,黎城,lc,licheng
506,大战场,dzc,dazhanchang
507,响水县,xsx,xiangshuixian
508,普安,pa,puan
509,尚家,sj,shangjia
510,二连,el,erlian
511,千岛湖,qdh,qiandaohu
512,霸州西,bzx,bazhouxi
513,苇河,wh,weihe
514,李市镇,lsz,lishizhen
515,福州南,fzn,fuzhounan
516,灵璧,lb,lingbi
517,罗江东,ljd,luojiangdong
518,普宁,pn,puning
519,白桦排,bhp,baihuapai
520,米脂,mz,mizhi
521,永城北,ycb,yongchengbei
522,普定,pd,puding
523,莫尔道嘎,medg,moerdaoga
524,淮北,hb,huaibei
525,瑞安,ra,ruian
526,奉化,fh,fenghua
527,长汀南,ztn,zhangtingnan
528,华山,hs,huashan
529,刘家河,ljh,liujiahe
530,野三坡,ysp,yesanpo
531,通辽,tl,tongliao
532,四平,sp,siping
533,锡铁山,xts,xitieshan
534,都匀东,dyd,douyundong
535,三门峡,smx,sanmenxia
536,焦作,jz,jiaozuo
537,库伦,kl,kulun
538,隆安东,lad,longandong
539,茅草坪,mcp,maocaoping
540,皮口,pk,pikou
541,小榆树,xys,xiaoyushu
542,中宁,zn,zhongning
543,枣阳,zy,zaoyang
544,丰水村,fsc,fengshuicun
545,达连河,dlh,dalianhe
546,运城北,ycb,yunchengbei
547,南宁,nn,nanning
548,庙庄,mz,miaozhuang
549,松山湖北,sshb,songshanhubei
550,柳沟,lg,liugou
551,将乐,jl,jiangle
552,瓦房店西,wfdx,wafangdianxi
553,程家,cj,chengjia
554,喀喇其,klq,kalaqi
555,阜新,fx,fuxin
556,闹海营,nhy,naohaiying
557,卓资山,zzs,zhuozishan
558,十渡,sd,shidu
559,宁乡,nx,ningxiang
560,佳木斯,jms,jiamusi
561,丰城东,fcd,fengchengdong
562,尖山,js,jianshan
563,邵阳西,syx,shaoyangxi
564,哈尔滨西,hebx,haerbinxi
565,红砂岘,hsx,hongshaxian
566,绩溪县,jxx,jixixian
567,石岭,sl,shiling
568,大石头南,dstn,dashitounan
569,怀化,hh,huaihua
570,大坝,db,daba
571,三都县,sdx,sandouxian
572,菏泽,hz,heze
573,威海北,whb,weihaibei
574,淮南,hn,huainan
575,亚龙湾,ylw,yalongwan
576,沈丘北,sqb,shenqiubei
577,元氏,ys,yuanshi
578,兴隆县,xlx,xinglongxian
579,达坂城,dbc,dabancheng
580,柳河,lh,liuhe
581,城子坦,czt,chengzitan
582,靖边,jb,jingbian
583,柴河,ch,chaihe
584,梅州西,mzx,meizhouxi
585,大板,db,daban
586,阿克陶,akt,aketao
587,烟台南,ytn,yantainan
588,漯河西,lhx,luohexi
589,开平南,kpn,kaipingnan
590,沙沱,st,shatuo
591,小儿坪,xep,xiaoerping
592,沙岭,sl,shaling
593,歪头山,wts,waitoushan
594,源迁,yq,yuanqian
595,余杭,yh,yuhang
596,库车,kc,kuche
597,松江南,sjn,songjiangnan
598,荆州,jz,jingzhou
599,乌鲁木齐南,wlmqn,wulumuqinan
600,大山铺,dsp,dashanpu
601,韦庄,wz,weizhuang
602,带岭,dl,dailing
603,京山,js,jingshan
604,乌兰哈达,wlhd,wulanhada
605,中寨,zz,zhongzhai
606,西峡,xx,xixia
607,潘家店,pjd,panjiadian
608,靖远,jy,jingyuan
609,潼南,tn,tongnan
610,杜拉尔,dle,dulaer
611,汤逊湖,txh,tangxunhu
612,罗城,lc,luocheng
613,黎塘,lt,litang
614,麻城北,mcb,machengbei
615,古城镇,gcz,guchengzhen
616,大林,dl,dalin
617,温江,wj,wenjiang
618,新民北,xmb,xinminbei
619,婺源,wy,wuyuan
620,深圳东,szd,shenzhendong
621,草海,ch,caohai
622,阿金,aj,ajin
623,草河口,chk,caohekou
624,鄠邑,hy,huyi
625,即墨北,jmb,jimobei
626,佛坪,fp,foping
627,镇远,zy,zhenyuan
628,旌德,jd,jingde
629,保定东,bdd,baodingdong
630,漯河,lh,luohe
631,新化,xh,xinhua
632,通道,td,tongdao
633,莲江口,ljk,lianjiangkou
634,果松,gs,guosong
635,遂宁,sn,suining
636,邓家湾,djw,dengjiawan
637,玉门,ym,yumen
638,济南西,jnx,jinanxi
639,公营子,gyz,gongyingzi
640,綦江,qj,qijiang
641,苏家屯,sjt,sujiatun
642,白马,bm,baima
643,崖州,yz,yazhou
644,吉新河,jxh,jixinhe
645,阜阳,fy,fuyang
646,察尔汗,ceh,chaerhan
647,大埔,dp,dapu
648,平原,py,pingyuan
649,高山子,gsz,gaoshanzi
650,衡水北,hsb,hengshuibei
651,亚布力西,yblx,yabulixi
652,歙县,sx,shexian
653,明城,mc,mingcheng
654,下马塘,xmt,xiamatang
655,永安乡,yax,yonganxiang
656,孝南,xn,xiaonan
657,尖峰,jf,jianfeng
658,新华,xh,xinhua
659,延平西,ypx,yanpingxi
660,三江南,sjn,sanjiangnan
661,瓦窑坝,wyb,wayaoba
662,宿松,ss,susong
663,四会,sh,sihui
664,槐荫,hy,huaiyin
665,通安驿,tay,tonganyi
666,邳州,pz,pizhou
667,茨冲,cc,cichong
668,株洲南,zzn,zhuzhounan
669,威海,wh,weihai
670,东丰,df,dongfeng
671,曲江,qj,qujiang
672,陶思浩,tsh,taosihao
673,春申,cs,chunshen
674,容桂,rg,ronggui
675,精河南,jhn,jinghenan
676,到保,db,daobao
677,平庄北,pzb,pingzhuangbei
678,通远堡西,tybx,tongyuanbaoxi
679,宜宾,yb,yibin
680,温岭,wl,wenling
681,美兰,ml,meilan
682,沙河市,shs,shaheshi
683,饶平,rp,raoping
684,崇信,cx,chongxin
685,汤原,ty,tangyuan
686,上板城南,sbcn,shangbanchengnan
687,绩溪北,jxb,jixibei
688,老莱,ll,laolai
689,郁山,ys,yushan
690,树木岭,sml,shumuling
691,草市,cs,caoshi
692,青水山,qss,qingshuishan
693,普者黑,pzh,puzhehei
694,东乡,dx,dongxiang
695,前山,qs,qianshan
696,大堡,db,dabao
697,七龙星,qlx,qilongxing
698,荷塘,ht,hetang
699,完工,wg,wangong
700,景德镇北,jdzb,jingdezhenbei
701,大扬气,dyq,dayangqi
702,福安,fa,fuan
703,平台,pt,pingtai
704,仙林,xl,xianlin
705,延吉,yj,yanji
706,小市,xs,xiaoshi
707,古家沱,gjt,gujiatuo
708,六枝,lz,liuzhi
709,枝城,zc,zhicheng
710,绥阳,sy,suiyang
711,东庄,dz,dongzhuang
712,南江,nj,nanjiang
713,经棚,jp,jingpeng
714,德惠西,dhx,dehuixi
715,小东,xd,xiaodong
716,铁厂沟,tcg,tiechanggou
717,沈家河,sjh,shenjiahe
718,双龙湖,slh,shuanglonghu
719,阜宁东,fnd,funingdong
720,清河城,qhc,qinghecheng
721,东湾,dw,dongwan
722,富阳,fy,fuyang
723,中山,zs,zhongshan
724,福临堡,flb,fulinbao
725,双丰,sf,shuangfeng
726,孙吴,sw,sunwu
727,沙海,sh,shahai
728,胜利镇,slz,shenglizhen
729,武功,wg,wugong
730,朝阳湖,cyh,chaoyanghu
731,海口东,hkd,haikoudong
732,绿化,lh,lu:hua
733,迁安,qa,qianan
734,长沙西,zsx,zhangshaxi
735,哈达,hd,hada
736,苏州园区,szyq,suzhouyuanqu
737,横道河子东,hdhzd,hengdaohezidong
738,阳曲西,yqx,yangquxi
739,合阳北,hyb,heyangbei
740,安平,ap,anping
741,新县,xx,xinxian
742,兴国,xg,xingguo
743,洛阳龙门,lylm,luoyanglongmen
744,鸡东,jd,jidong
745,杭锦旗,hjq,hangjinqi
746,高台,gt,gaotai
747,濮阳,py,puyang
748,五通,wt,wutong
749,新乡东,xxd,xinxiangdong
750,渡市,ds,dushi
751,蓬安,pa,pengan
752,日照西,rzx,rizhaoxi
753,安庆,aq,anqing
754,邵东,sd,shaodong
755,南岔,nc,nancha
756,加劳,jl,jialao
757,四合永,shy,siheyong
758,石林南,sln,shilinnan
759,梁山,ls,liangshan
760,安广,ag,anguang
761,开化,kh,kaihua
762,杭州,hz,hangzhou
763,亚布力,ybl,yabuli
764,平坝南,pbn,pingbanan
765,子长,zz,zizhang
766,忙罕屯,mht,manghantun
767,金寨,jz,jinzhai
768,于都,yd,yudou
769,金宝屯,jbt,jinbaotun
770,泗阳,sy,siyang
771,什里店,sld,shenlidian
772,岑溪,cx,cenxi
773,白银哈尔,byhe,baiyinhaer
774,岢岚,kl,kelan
775,大明湖,dmh,daminghu
776,甲猫,jm,jiamao
777,团结,tj,tuanjie
778,顺德学院,sdxy,shundexueyuan
779,潞城,lc,lucheng
780,柳林南,lln,liulinnan
781,光山,gs,guangshan
782,徐家店,xjd,xujiadian
783,汇塘河,hth,huitanghe
784,辰清,cq,chenqing
785,周家,zj,zhoujia
786,新郑机场,xzjc,xinzhengjichang
787,安康,ak,ankang
788,柳州,lz,liuzhou
789,和静,hj,hejing
790,向阳,xy,xiangyang
791,石门村,smc,shimencun
792,成吉思汗,cjsh,chengjisihan
793,范家屯,fjt,fanjiatun
794,军粮城北,jlcb,junliangchengbei
795,石门坎,smk,shimenkan
796,陵水,ls,lingshui
797,营口,yk,yingkou
798,驻马店西,zmdx,zhumadianxi
799,民乐,ml,minle
800,安仁,ar,anren
801,老营,ly,laoying
802,无为,ww,wuwei
803,枣林,zl,zaolin
804,苏州新区,szxq,suzhouxinqu
805,涿州东,zzd,zhuozhoudong
806,萍乡北,pxb,pingxiangbei
807,宁德,nd,ningde
808,太原东,tyd,taiyuandong
809,沥林北,llb,lilinbei
810,双流西,slx,shuangliuxi
811,坡底下,pdx,podixia
812,萧县,xx,xiaoxian
813,彭阳,py,pengyang
814,景泰,jt,jingtai
815,东莞东,dgd,dongguandong
816,嘉祥,jx,jiaxiang
817,张辛,zx,zhangxin
818,梅江,mj,meijiang
819,南峪,ny,nanyu
820,金山北,jsb,jinshanbei
821,南峧,nj,nanjiao
822,江门东,jmd,jiangmendong
823,商都,sd,shangdou
824,叶榭,yx,yexie
825,砀山,ds,dangshan
826,西丰,xf,xifeng
827,塔尔气,teq,taerqi
828,营口东,ykd,yingkoudong
829,金山卫,jsw,jinshanwei
830,长临河,zlh,zhanglinhe
831,苏尼特左旗,sntzq,sunitezuoqi
832,嘉峪关南,jygn,jiayuguannan
833,潮阳,cy,chaoyang
834,克山,ks,keshan
835,南张村,nzc,nanzhangcun
836,瓜州,gz,guazhou
837,海北,hb,haibei
838,关林,gl,guanlin
839,太姥山,tls,tailaoshan
840,葫芦岛北,hldb,huludaobei
841,双城北,scb,shuangchengbei
842,东京城,djc,dongjingcheng
843,尼勒克,nlk,nileke
844,西渡,xd,xidu
845,开原,ky,kaiyuan
846,艾不盖,abg,aibugai
847,北京大兴,bjdx,beijingdaxing
848,马兰,ml,malan
849,唐山北,tsb,tangshanbei
850,唐海南,thn,tanghainan
851,羊尾哨,yws,yangweishao
852,漳浦,zp,zhangpu
853,全椒,qj,quanjiao
854,阿里河,alh,alihe
855,临江,lj,linjiang
856,双凤驿,sfy,shuangfengyi
857,吉林,jl,jilin
858,深井子,sjz,shenjingzi
859,海安县,hax,haianxian
860,松江,sj,songjiang
861,郯城,tc,tancheng
862,牛家,nj,niujia
863,怀柔北,hrb,huairoubei
864,潍坊北,wfb,weifangbei
865,博鳌,ba,boao
866,昭通北,ztb,zhaotongbei
867,加南,jn,jianan
868,巩义南,gyn,gongyinan
869,聂河,nh,niehe
870,紫荆关,zjg,zijingguan
871,都昌,dc,douchang
872,涞源,ly,laiyuan
873,临汾,lf,linfen
874,崔黄口,chk,cuihuangkou
875,西乌旗,xwq,xiwuqi
876,洪河,hh,honghe
877,林西,lx,linxi
878,茂林,ml,maolin
879,西平,xp,xiping
880,赫尔洪得,hehd,heerhongde
881,新晃西,xhx,xinhuangxi
882,临沂,ly,linyi
883,昌图西,ctx,changtuxi
884,赤壁北,cbb,chibibei
885,祁门,qm,qimen
886,寒葱沟,hcg,hanconggou
887,邹平,zp,zouping
888,加格达奇,jgdq,jiagedaqi
889,蓟州,jz,jizhou
890,兴城,xc,xingcheng
891,新和,xh,xinhe
892,百宜,by,baiyi
893,如东,rd,rudong
894,资中北,zzb,zizhongbei
